Entry	Entry Name
Q43135	C79A1_SORBI
Q50EX7	PAL1_PETHY
Q50LH3	C7192_ESCCA
Q56YU0	AL2C4_ARATH
Q5H873	HLTT_LUPAL
Q5K6Q4	Q5K6Q4_SOYBN
Q5NUF4	HIDM_GLYEC
Q67XJ2	NFYBA_ARATH
Q6ERW7	CAD8C_ORYSJ
Q6ID18	LAC10_ARATH
Q6J540	C79D4_LOTJA
Q6J541	C79D3_LOTJA
Q6UIL3	LAHY_LARTR
Q6YTF5	C76M5_ORYSJ
Q6Z5I7	C76M6_ORYSJ
Q7XB08	CNMT_PAPSO
Q7XXL2	4CLL9_ORYSJ
Q84KK4	I4OMT_LOTJA
Q84KK6	I4OMT_GLYEC
Q8GWP0	MYB39_ARATH
Q8H115	NA102_ARATH
Q8H780	SCP13_ARATH
Q8H859	CADH1_ORYSJ
Q8LIL0	CUS_ORYSJ
Q8RVK9	CHS_CANSA
Q8VZA1	LAC11_ARATH
Q93V51	PSE1_ARATH
Q93WU2	EOMT1_OCIBA
Q93WU3	CVMT1_OCIBA
Q93Y23	GSOX4_ARATH
Q948Y1	C719A_COPJA
Q94KL8	SILD_PODPE
Q9AU11	PKS1_RUBID
Q9C6K3	DF1_ARATH
Q9CAI3	CADH1_ARATH
Q9CAY3	GPAT5_ARATH
Q9FJ93	DRE1D_ARATH
Q9FJD5	LAC17_ARATH
Q9FMY1	C86B1_ARATH
Q9FQY8	COMT1_CAPAN
Q9FUT1	GSTUE_ARATH
Q9LFD2	LAC8_ARATH
Q9LL41	PCBER_PINTA
Q9LMS3	LAC1_ARATH
Q9LPU5	IGMT1_ARATH
Q9LUG9	MD33A_ARATH
Q9LXN3	FACR4_ARATH
Q9M0A5	GGP3_ARATH
Q9M6S1	Q9M6S1_PEA
Q9M7B7	C79D2_MANES
Q9MAT6	HMG15_ARATH
Q9S9K9	MYB3_ARATH
Q9SAH9	CCR2_ARATH
Q9SBF3	MYB92_ARATH
Q9SHH6	GSTUO_ARATH
