EC	min_Km
1.14.14.98	6.45e-06
1.14.15.21	0.00054
1.14.16.2	4.1e-06
1.14.17.4	0.00015
1.14.18.1	0.0002
1.14.19.20	3.2e-05
1.14.19.68	2.69e-07
1.14.20.6	2.7e-05
1.16.1.7	9e-07
1.17.1.4	1e-06
1.17.3.2	0.00105
1.18.1.2	3.9e-07
1.18.1.6	2.4e-06
1.2.1.11	3.72e-05
1.2.1.12	3.6e-05
1.2.1.13	1e-05
1.2.1.44	4.2e-07
1.2.1.88	0.00011
1.2.1.9	1.14e-06
1.2.3.1	3.3e-07
1.2.3.14	5.1e-07
1.2.3.4	0.0013
1.2.3.7	3.4e-05
1.2.4.1	2.9e-05
1.2.4.1 2.3.1.12 1.8.1.4	2.9e-05
1.2.4.2	7.85e-05
1.2.4.2 2.3.1.61 1.8.1.4	7.85e-05
1.20.4.1	0.0001
1.23.5.1	4.9e-08
1.3.1	1e-05
1.3.1.123	1.1e-06
1.3.1.13	1.4e-05
1.3.1.22	5.2e-08
1.3.1.74	0.00028
1.3.1.77	0.0
1.3.1.78	1.2e-05
1.3.1.9	1.1e-06
1.3.2.3	2.6e-05
1.3.5.6	8.4e-06
1.3.7.12	0.000605
1.3.8.4	1.3e-06
1.3.99.12	1e-06
1.4.3.21	3.6e-05
1.4.3.22	0.0002
1.4.4.2	2.2e-06
1.4.4.2 1.8.1.4 2.1.2.10	2.2e-06
1.4.4.2 2.1.2.10 1.8.1.4	2.2e-06
1.5.1.2	2.4e-05
1.5.1.20	2.7e-06
1.5.1.5	7.7e-06
1.5.1.8	3.2e-05
1.5.1.9	3.5e-05
1.5.3.14	4.8e-06
1.5.3.16	3.3e-06
1.5.99.12	3e-07
1.6.2.4	2.2e-06
1.6.2.6	1.04e-05
1.6.5.12	2e-05
1.6.5.4	4.1e-06
1.6.5.9	1.9e-05
1.7.3.3	1e-05
1.8.1.4	2.2e-06
1.8.1.9	3.1e-07
1.8.4.12	8.32e-06
1.8.4.9	4.5e-06
1.8.5.1	1.9e-05
1.8.7.1	1.7e-06
2.1.1	1.4e-05
2.1.1.10	1.8e-05
2.1.1.100	3e-06
2.1.1.103	9.6e-05
2.1.1.104	8.304e-05
2.1.1.115	4.1e-05
2.1.1.117	0.000173
2.1.1.118	6.6e-05
2.1.1.12	3.4e-05
2.1.1.122	2e-06
2.1.1.127	1.4e-06
2.1.1.128	5e-06
2.1.1.14	1.7e-05
2.1.1.141	6.3e-06
2.1.1.142	3e-05
2.1.1.143	2e-05
2.1.1.146	3e-06
2.1.1.153	1.6e-06
2.1.1.154	2.2e-06
2.1.1.155	1.7e-06
2.1.1.158	1.3e-05
2.1.1.159	1.19e-05
2.1.1.160	2.1e-05
2.1.1.165	4e-05
2.1.1.169	3.33e-06
2.1.1.17	3.1e-05
2.1.1.175	3.6e-05
2.1.1.212	3e-06
2.1.1.240	1.2e-05
2.1.1.241	0.000272
2.1.1.267	2.7e-06
2.1.1.270	5e-07
2.1.1.274	2.3e-05
2.1.1.277	2.025e-06
2.1.1.278	1.3e-05
2.1.1.280	1.5e-05
2.1.1.300	4.7e-05
2.1.1.39	0.0008
2.1.1.4	0.000222
2.1.1.40	0.0025
2.1.1.41	2.7e-05
2.1.1.50	0.000315
2.1.1.53	0.000113
