Entry	Entry Name
A0A1P8ARA7	A0A1P8ARA7_ARATH
A0A1R3IDC1	A0A1R3IDC1_COCAP
A0A1U8NHA5	A0A1U8NHA5_GOSHI
A0A1X7RCA6	A0A1X7RCA6_ZYMTR
A0A251P8U9	A0A251P8U9_PRUPE
A0A251P904	A0A251P904_PRUPE
A0A251RK16	A0A251RK16_PRUPE
A0A251S7W9	A0A251S7W9_HELAN
A0A2C9V699	A0A2C9V699_MANES
A0A2C9V6I3	A0A2C9V6I3_MANES
A0A2C9V8H1	A0A2C9V8H1_MANES
A0A2C9VIG6	A0A2C9VIG6_MANES
A0A2C9VIS2	A0A2C9VIS2_MANES
A0A2G3AB56	A0A2G3AB56_CAPAN
A0A2J6K1E5	A0A2J6K1E5_LACSA
A0A2J6LV52	A0A2J6LV52_LACSA
A0A2K2C245	A0A2K2C245_POPTR
A0A2K2C246	A0A2K2C246_POPTR
A0A2N0RRL5	A0A2N0RRL5_9GLOM
A0A2N1NIK3	A0A2N1NIK3_9GLOM
A0A2R6WKE8	A0A2R6WKE8_MARPO
A0A2T7F177	A0A2T7F177_9POAL
A0A2T7F5S0	A0A2T7F5S0_9POAL
A0A368UJ31	A0A368UJ31_SOYBN
A0A3M6WIR8	A0A3M6WIR8_HORWE
A0A3P6BZQ0	A0A3P6BZQ0_BRAOL
A0A433DKR2	A0A433DKR2_9FUNG
A0A438IDC2	A0A438IDC2_VITVI
A0A4U6W8P2	A0A4U6W8P2_SETVI
A0A4U6W8X0	A0A4U6W8X0_SETVI
A0A5K0YIV1	A0A5K0YIV1_9MAGN
A0A5K0YKK7	A0A5K0YKK7_9MAGN
A0A5K1B5R1	A0A5K1B5R1_9MAGN
A0A5P1FHR7	A0A5P1FHR7_ASPOF
A0A5S9X3R0	A0A5S9X3R0_ARATH
A0A5S9XCN6	A0A5S9XCN6_ARATH
A0A5S9XD15	A0A5S9XD15_ARATH
A0A6A5CA29	A0A6A5CA29_NAEFO
A0A6D2LAD4	A0A6D2LAD4_9BRAS
A0A6I9U474	A0A6I9U474_SESIN
A0A6I9USZ7	A0A6I9USZ7_SESIN
A0A6P9E096	A0A6P9E096_JUGRE
A0A6P9E1R6	A0A6P9E1R6_JUGRE
A0A6P9E268	A0A6P9E268_JUGRE
A0A6P9EAQ7	A0A6P9EAQ7_JUGRE
A0A6P9EF24	A0A6P9EF24_JUGRE
A0A6P9F233	A0A6P9F233_JUGRE
A0A7C8IYN4	A0A7C8IYN4_ORBOL
A0A7C8KFP9	A0A7C8KFP9_ORBOL
A0A7C8NPL3	A0A7C8NPL3_ORBOL
A0A7C8VHP4	A0A7C8VHP4_ORBOL
A0A7G2EAV7	A0A7G2EAV7_ARATH
A0A7G2EMF7	A0A7G2EMF7_ARATH
A0A7G2EN84	A0A7G2EN84_ARATH
A0A7G2EQH6	A0A7G2EQH6_ARATH
A0A7S1PV23	A0A7S1PV23_NEODS
A0A8D9GEF5	A0A8D9GEF5_BRACM
A0A8D9M2X1	A0A8D9M2X1_BRACM
A0A8H2HJK1	A0A8H2HJK1_ORBOL
A0A8H7UZD7	A0A8H7UZD7_9FUNG
A0A8S1ZJP5	A0A8S1ZJP5_ARAAE
A0A8S1ZT97	A0A8S1ZT97_ARAAE
A0A8S1ZVV6	A0A8S1ZVV6_ARAAE
A0A8S1ZY10	A0A8S1ZY10_ARAAE
A0A8S1ZYZ2	A0A8S1ZYZ2_ARAAE
A0A8S2A6L9	A0A8S2A6L9_ARAAE
A0A8S9M1T4	A0A8S9M1T4_BRACR
A0A8S9M8C0	A0A8S9M8C0_BRACR
A0A8T2EPY5	A0A8T2EPY5_9BRAS
A0A8T2ESU6	A0A8T2ESU6_9BRAS
A0A8T2F5U8	A0A8T2F5U8_ARASU
A0A8T2G7R5	A0A8T2G7R5_ARASU
A0A8T2GQK3	A0A8T2GQK3_9BRAS
A0A8X7SKG0	A0A8X7SKG0_BRACI
A0A9P3HEZ6	A0A9P3HEZ6_9FUNG
A0A9P6K8U1	A0A9P6K8U1_9FUNG
A0A9P6UAK9	A0A9P6UAK9_9FUNG
A0A9P8A6M5	A0A9P8A6M5_MORAP
B2D2H1	B2D2H1_BRAOL
B8AGY8	B8AGY8_ORYSI
B9RAJ3	B9RAJ3_RICCO
B9REG9	B9REG9_RICCO
B9REH3	B9REH3_RICCO
B9REH5	B9REH5_RICCO
B9S3R8	B9S3R8_RICCO
C5H9P3	C5H9P3_BRARP
C5XT62	C5XT62_SORBI
C5Y176	C5Y176_SORBI
D7KE54	D7KE54_ARALL
D7KE87	D7KE87_ARALL
D7KEF1	D7KEF1_ARALL
D7KN96	D7KN96_ARALL
D7KN97	D7KN97_ARALL
D7KN99	D7KN99_ARALL
D7KNM0	D7KNM0_ARALL
D7KP85	D7KP85_ARALL
D7KPK4	D7KPK4_ARALL
D7KRZ1	D7KRZ1_ARALL
D7KRZ2	D7KRZ2_ARALL
D7KUP2	D7KUP2_ARALL
D7KUP3	D7KUP3_ARALL
D7KWB1	D7KWB1_ARALL
D7L4I1	D7L4I1_ARALL
D7L5P4	D7L5P4_ARALL
D7L5P6	D7L5P6_ARALL
D7L708	D7L708_ARALL
D7L7T3	D7L7T3_ARALL
D7L9X6	D7L9X6_ARALL
D7LA26	D7LA26_ARALL
D7LFP5	D7LFP5_ARALL
D7LLM2	D7LLM2_ARALL
D7LUH2	D7LUH2_ARALL
D7M0D6	D7M0D6_ARALL
D7M4N0	D7M4N0_ARALL
D7M4Y7	D7M4Y7_ARALL
D7M593	D7M593_ARALL
D7MA08	D7MA08_ARALL
D7MB60	D7MB60_ARALL
D7MBU7	D7MBU7_ARALL
D7MBU9	D7MBU9_ARALL
D7MMT4	D7MMT4_ARALL
D7MN18	D7MN18_ARALL
D7MN34	D7MN34_ARALL
D7MRL7	D7MRL7_ARALL
D7MUC3	D7MUC3_ARALL
D7T2V4	D7T2V4_VITVI
E0CT50	E0CT50_VITVI
F2CVP8	F2CVP8_HORVV
F4J1A4	F4J1A4_ARATH
F6HB80	F6HB80_VITVI
F6HB85	F6HB85_VITVI
G1X861	G1X861_ARTOA
